job_title|company_name|location|position_level|jobs_location|total_vacancy|job_description|required_experience|required_education|required_language|required_soft_skill|required_technical_skill|job_type|working_hour_type|working_hour|work_day|off_day|salary_type|salary_range|job_url|scraping_date
Electrical Planner|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Non Executive|LABUAN|1|"Location – Labuan

Required Qualifications: 

•	Candidate must possess at least a Certificate or Diploma in Electrical Engineering or equivalent
•	At least 5 years of relevant working experience in Oil & Gas and/or Petrochemical industry with 2 TA experiences OR; At least 6 years of relevant working experience in any other industry
•	Knowledge of Microsoft packages including Word, Outlook, Access, Excel
•	Effective communication, including writing, speaking and interpersonal communication"|At least 5 year of experience|Diploma /|Malay / English /|Problem-solving / Managing / Planning /|Microsoft Project / Project Planning and Scheduling / Project Documentation /|Contract|Office Hour|07:30 AM to 04:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 4,000 - RM 6,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTExMQ==|2026-02-18 12:21:58
SENIOR DYNAMIC POSITIONING OFFICER|RUHM MARINE SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|2|Maintain the vessel in the optimum position for operations, both on location and underway / making way. Continuously monitor all systems critical for DP operations, while on the DP desk. Serve as Navigational Watch Officer while relieved from DP duty.|At least 2 year of experience|Diploma /|Malay / English /|Written communication /|Microsoft Outlook / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 25,000 - RM 30,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEyOA==|2026-02-18 12:21:58
ENGINEER|LEDDER ENTERPRISE SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"- Responsible for maintenance, installation and troubleshoot of electrical and telecommunications system, hardware and equipment.
- Prepare technical and maintenance report and prepare for presentation whenever required
- Provide onshore and offshore support
- Responsible for understanding and complying with all policies, procedures and regulations within scope of job"|At least 3 year of experience|Degree /|Malay / English /|Active listening / Written communication / Nonverbal communication / Reporting / Reliability / Problem-solving / Troubleshooting /|Microsoft Office / Network Security / Project Planning and Scheduling / Project Documentation /|Contract|Office Hour|07:30 AM to 04:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 3,700 - RM 4,900|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI4NQ==|2026-02-18 12:21:58
Account Assistant|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Entry Level|LABUAN|2|"Qualification / Requirement
-Minimum SPM with credit.
-At least one (1) year of working experience in accounting.
-Proficient in English and Bahasa Malaysia.
-Knowledge or experience in AutoCount software and Service Tax (SST) is an added advantage.
-Able to work independently with minimal supervision, hardworking, and possesses good interpersonal skills.

Responsibilities
-To assist with data entry for Accounts Payable and Accounts Receivable transactions.
-To support daily office administrative tasks such as documentation, filing, coordinating correspondences, and following up on pending matters.
-To undertake other ad-hoc accounting-related duties as assigned by management."|At least 1 year of experience|SPM /|Malay / English /|Documenting /|Microsoft Office /|Full Time|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 1,700 - RM 1,800|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTIxOQ==|2026-02-18 12:21:58
CSIT ENGINEER|LEDDER ENTERPRISE SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"1.	Responsible for maintenance, installation and troubleshoots of computer, network and telecommunication systems, hardware and equipment.
2.	Prepare technical and maintenance report and prepare for presentation whenever required.
3.	Provide Onshore & Offshore support.
4.	Responsible for understanding and complying with all policies, procedures, and regulations within scope of job.
5.	Liaise with Project Team regarding work need to be done and make necessary arrangement for a smooth and safe work flow and according to 12 lifesaving HSSE rule."|At least 4 year of experience|Degree /|Malay / English /|Written communication / Summarizing / Documenting / Reporting / Sourcing feedback / Observing / Troubleshooting /|Microsoft Office / Network Security / Network protocols / Vulnerability Assessment / Project Planning and Scheduling /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 5,000 - RM 6,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQ1Ng==|2026-02-18 12:21:58
MARINE CREW - ELECTRO TECHNICAL OFFICER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|"The ETO reports directly to the Chief Engineer and oversees the proper operation of electronic/electrical equipment and/or installations on board the vessel. ETO is a member of the Shipboard Management Team and assists the Chief Engineer in the implementation of IMS.
The position of ETO shall have the following courses/certificates and experience:
(a) Trained and certified as per IMO model course T708E, or Diploma or higher qualification in electronics or mechatronics engineering.
(b) 1 year in-field experience in the making of the DP system.
(c) Certificate of Competency and any ancillary courses in accordance with Flag State and STCW
(d) Good fault-finding skills and a high level of understanding of specialist vessel systems

60 Days Contract"|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|English /|Problem-solving / Troubleshooting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 1,050 - RM 1,470|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwOA==|2026-02-18 12:21:58
Safety, HSE, Medic Officer|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"• Provide fulltime medical coverage and emergency response on the offshore platform or vessel.
• Manage acute and chronic medical conditions, minor injuries, and trauma cases until evacuation 
• if needed.
• Oversee the medical clinic, inventory, and resupply of medical equipment and medications.
• Conduct pre-tour health briefings, health surveillance, and periodic health assessments.
• Support emergency medical evacuations (medevac) and coordinate with onshore medical 
services.
• Maintain and submit medical reports, treatment logs, and health records as per company and
regulatory requirements.
• Advise management on health risks, communicable diseases, and hygiene measures onboard.
• Participate in safety drills and emergency response simulations, including fire, man-overboard, 
and medevac drills.
• Ensure compliance with international and local health standards.
• Assist HSE team in risk assessments, audits, and health promotion campaigns onboard."|10 year of experience|Diploma / Degree /|Malay / English /|Active listening / Body language / Positivity / Observing / Problem-solving /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,550 - RM 1,600|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI3MQ==|2026-02-18 12:21:58
MARINE CREW - CRANE OPERATOR - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|1|"The Crane Operator operates the crane during lifting operations, receiving instructions from the designated banksman (Chief Officer or Bosun / Leaderman). Besides operations, they are also responsible for the maintenance of the crane.

60 Days TOD"|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Problem-solving / Troubleshooting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 965 - RM 1,050|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQxMA==|2026-02-18 12:21:58
QC Clerk|JGC MALAYSIA SDN BHD|SIPITANG|Non Executive|SIPITANG|1|Responsible for managing and maintaining all project documentation, ensuring that documents are accurate, well-organized, and easily accessible. This role supports the project team by ensuring that all documents are stored, updated, and distributed in a timely manner, adhering to company and project-specific standards, regulatory requirements, and best practices.  Maintain the integrity of the Document Management System (DMS), including uploading, downloading, and reviewing documents, as well as troubleshooting and resolving issues within the system.  Familiar with CMS/TOMAS is an advantage.|At least 3 year of experience|Diploma /|English /|Documenting /|Project Documentation /|Contract|Office Hour|07:00 AM to 04:00 PM|Monday /|Sunday /|Monthly Salary|RM 3,000 - RM 3,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEzMA==|2026-02-18 12:21:58
Field Professional, I|HALLIBURTON ENERGY SERVICES (M) SDN BHD|MIRI|Non Executive|MIRI|1|Under broad direction, provides well site service to customers of Baroid. Demonstrates advanced knowledge of colloidal and general chemistry, volume and hydraulics calculations and routine and specialized testing to varied field experiences. Provides guidance, including facilitating formal training, to fluid service representatives on company products and services, how drilling fluid technology can optimize service quality, industry knowledge, rig schedules, and rig operations. Conducts and interprets routine and specialized testing that provide technical guidance of Baroid's customized engineering fluids to maximize wellbore value. Tracks material usage and maintains record of same for inventory and billing purposes. Maintains good working relationship with operator's representative and rig personnel. Assists the operator's representative in specific operations planning and drilling operation optimization. Assists the Baroid Technical Professional and Operations staff in well planning and business delivery activities. Reviews well recaps for accuracy and capture of lessons learned. Takes an active role in mentoring Field Service Representatives. Complies with health, safety and environment regulations in all aspects of job performance.  Mud Training Required. Math Test Required.|At least 5 year of experience|Degree /|Malay / English /|Documenting / Conflict management / Problem-solving /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 1,500 - RM 11,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQ0NQ==|2026-02-18 12:21:58
Senior Testing Specialist|SUNDUWAN ENGINEERING SERVICES SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|Able to perform electrical protection testing and maintenance for LV/HV equipment testing i.e. Switchgears|At least 5 year of experience|Degree /|Malay / English /|Managing / Planning / Delegating / Supervising /|C++  / Project Planning and Scheduling /|Full Time|Office Hour|08:00 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,500 - RM 3,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI2Mw==|2026-02-18 12:21:58
Advanced Operator|INTEGRATED PETROLEUM SERVICES SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"RESPONSIBILITIES-This is an offshore job in Sabah waters. For a safe operation of the Ampelmann system according to company procedures. He is the focal point of contact for the operators on the vessel, client and the Project Manager. Responsible for overall safe operation with the Ampelmann on the project. Operates the Ampelmann system according toe company procedures and connects the gangway to an offshore structure in the correct manner. He acts correctly during all emergency scenarios. Responsible for filling in the DPR and updating the Tool Container Consumption list. He handle handover for every crew change.
He ensure that the operators have the required knowledge, expertise and skills to perform their tasks independently. He trains and assesses the operators , monitor their progress and guide them as needed. He ensure that the relevant information is shared in a clear and professional manner to the operators, client and PM. he has an in-depth technological understanding of the Ampelmann. 
He can discover and locate an errors. The Advanced Operator keeps himself updated with the latest company and project related information and keeps his certification updated. He familiar wit safety programs and submits report of unsafe acts/situation. He submits feedback report of each shift and timesheets on weekly basis for hours worked. He also assist in mobilizing or demobilizing and maintenance/production activities on location He will also assist during training sessions of junior operators."|10 year of experience|Diploma /|Malay / English /|Written communication / Documenting / Reporting / Problem-solving / Brainstorming / Troubleshooting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Project / Project Documentation /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 140,000 - RM 15,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM0OQ==|2026-02-18 12:21:58
BLASTER|ASH MARINE SDN BHD|JOHOR BAHRU|Senior Executive|JOHOR BAHRU|4|"To verify all painting procedures and client specifications. 

• To ensure that the quality of all aspect painting programmed is correct and to ensure that requirements of the coating are met to client procedures and specifications. 
• To inspect pre-surface preparation, i.e. check rust grade. 
• To check the preparation of equipment, i.e. compressor (Air cleanliness). 
• To perform surface preparation(blasting) which includes blasting surface, achieving surface profile, free from oil and grease and free from dust. 
• To measure conditions of environmental before and after blasting painting activities, i.e. relative humidity, dew point, air temp, wet temp, and steel temp. 
• To perform paint mixing and paint application. 
• To determine the thickness of the wet film. • To determine the thickness of dry film. 
• To check cleanliness between coats, i.e. free from dust. 
• To carry out paint tests, i.e. pinhole and holiday tests, and adhesion tests. 
• Ensure all painting inspection tools/ equipment are being calibrated and in good condition prior to starting work."|At least 3 year of experience|Malaysian Skills Certificate (SKM) / Diploma / Degree /|Malay / English /|Supervising / Training /|Microsoft Office /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 2,000 - RM 3,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE5MQ==|2026-02-18 12:21:58
Operations Project Manager|INTEGRATED PETROLEUM SERVICES SDN BHD|KOTA KINABALU|Manager|KOTA KINABALU|1|"RESPONSIBILITIES-This job requires to work both onshore and offshore, Sabah waters. Responsible for all operational, technical, financial and HSE aspects of commercial projects. Provide support to business development, innovation and engineering projects. Manges daily operations, project safety, organisation, budget, planning, invoicing and the company on going projects. Liase with different stakeholders and understand their roles and responsibilities. Manage all project administration. Initiate improvements and share with the team. Mentors and guides juniors in the the projects. Leading role in field de/mobilizatiions, trips offshore and client meetings. close contact and acknowledge the needs of stakeholders.
Set s personal goals translated from department goals. Focus on effective communication. Manage stakeholders and lead meetings. Risk management-take mitigating measures to reduce project risks, Actively seeks safety improvements and assist in roll out."|10 year of experience|Degree /|Malay / English /|Written communication / Presenting / Documenting / Reporting / Patience / Conflict management / Motivating / Problem-solving / Brainstorming / Cost-benefit analyzing / Goal-setting / Managing / Planning / Crisis managing / Speaking / Explaining / Representing /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Project / Incident Response / Project Planning and Scheduling / Project Budgeting / Cost Management / Risk Management / Project Documentation / Project Closure and Evaluation /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 13,000 - RM 15,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM1MA==|2026-02-18 12:21:58
MARINE CREW - CHIEF OFFICER FOR FCB EXPRESS 95|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|1|"The Chief Officer is the deputy of the Deck Department and is responsible to the
Master for the supervision of the Second Officer (if carried on board) and Deck
Ratings. The Chief Officer is a member of the Shipboard Management Team and
assists the Master in the implementation of the IMS, and acts as the Ship Security
Officer and Ship Safety Officer (as appointed by the Company).
In certain circumstances, the Chief Officer may be allocated additional
responsibilities at the discretion of the Master. Where an additional Chief Officer
is carried on board a vessel, the Master shall apportion their duties and
responsibilities."|At least 2 year of experience|Diploma /|Malay / English /|Active listening / Written communication / Editing /|Microsoft Access / Microsoft Excel / Microsoft Outlook /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 7,000 - RM 8,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM3OA==|2026-02-18 12:21:58
